('🧕', '🤔', 1)
('👏', '👏', 20290)
('🇨', '🇦', 2782)
('🙏', '🙏', 11761)
('🙏', '🙌', 34)
('🙏', '👏', 65)
('🙌', '🙌', 5497)
('🙌', '👏', 79)
('🙏', '👍', 40)
('👏', '👍', 410)
('👏', '🙌', 86)
('👍', '👍', 5569)
('👍', '🙌', 82)
('🕯️', '💙', 5)
('🕯️', '💜', 1)
('🕯️', '❤️', 4)
('🕯️', '🧡', 1)
('💙', '💜', 267)
('💙', '❤️', 297)
('💙', '🧡', 35)
('💜', '❤️', 32)
('💜', '🧡', 35)
('❤️', '🧡', 57)
('😞', '😭', 47)
('❤️', '🐷', 2)
('❤️', '🐶', 21)
('🐷', '🐶', 3)
('🐄', '💚', 1)
('😔', '😡', 12)
('😔', '😪', 23)
('😔', '💔', 20)
('😡', '😪', 9)
('😡', '💔', 5)
('😪', '💔', 13)
('🐮', '😍', 2)
('😢', '🐴', 1)
('👎', '💔', 1)
('🚫', '🐳', 1)
('😍', '🐠', 2)
('😍', '🐟', 1)
('🐠', '🐟', 4)
('💚', '🌱', 12)
('🐓', '💚', 1)
('💔', '😓', 5)
('💔', '😥', 15)
('🌱', '🎂', 1)
('🌱', '🎉', 1)
('🎂', '🎉', 38)
('🇨', '🙌', 2)
('🇦', '🙌', 3)
('😍', '🐮', 1)
('😍', '💚', 12)
('🐮', '💚', 1)
('🎉', '🎉', 1198)
('🙌🏼', '🐷', 1)
('🤓', '🐄', 1)
('🤓', '🐂', 1)
('🐄', '🐂', 17)
('🏁', '🚥', 1)
('🏁', '👍', 127)
('🏁', '🍻', 1)
('🏁', '🍺', 1)
('🚥', '👍', 1)
('🚥', '🍻', 1)
('🚥', '🍺', 1)
('👍', '🍻', 24)
('👍', '🍺', 3)
('🍻', '🍺', 37)
('☀', '💞', 1)
('☀', '💥', 3)
('☀', '🐢', 1)
('☀', '💚', 1)
('💞', '💥', 3)
('💞', '🐢', 5)
('💞', '💚', 20)
('💥', '💥', 3712)
('💥', '🐢', 3)
('💥', '💚', 11)
('🐢', '💚', 6)
('♥', '♥', 78)
('❄️', '💩', 32)
('❄️', '🤡', 50)
('💩', '🤡', 952)
('🤡', '💩', 736)
('🤣', '❄️', 45)
('🤣', '🤡', 719)
('🤔', '🦴', 2)
('🤔', '👉🏽', 5)
('🤔', '💩', 33)
('🤔', '🕳️', 2)
('🤔', '🤣', 465)
('🦴', '👉🏽', 2)
('🦴', '💩', 46)
('🦴', '🕳️', 8)
('🦴', '🤣', 46)
('👉🏽', '💩', 6)
('👉🏽', '🕳️', 2)
('👉🏽', '🤣', 6)
('💩', '🕳️', 36)
('💩', '🤣', 183)
('🕳️', '🤣', 6)
('💕', '💕', 1599)
('💕', '👇', 15)
('😁', '😇', 13)
('😁', '✌🏽', 6)
('😇', '✌🏽', 2)
('❌', '❤', 13)
('❌', '❌', 10588)
('❤', '❌', 14)
('🇺', '🇸', 61907)
('🇺', '⭐️', 205)
('🇺', '🇺', 45668)
('🇺', '💥', 362)
('🇺', '💯', 311)
('🇺', '🚂', 162)
('🇸', '⭐️', 201)
('🇸', '🇺', 44642)
('🇸', '🇸', 44847)
('🇸', '💥', 368)
('🇸', '💯', 303)
('🇸', '🚂', 161)
('⭐️', '⭐️', 626)
('⭐️', '🇺', 316)
('⭐️', '🇸', 310)
('⭐️', '💥', 21)
('⭐️', '💯', 4)
('⭐️', '🚂', 18)
('💥', '💯', 46)
('💥', '🚂', 16)
('💯', '💥', 21)
('💯', '🚂', 7)
('🚂', '🚂', 585)
('🖕🏿', '🖕🏽', 20)
('🖕🏿', '🖕', 24)
('🖕🏿', '🖕🏻', 21)
('🖕🏿', '🤡', 11)
('🖕🏽', '🖕', 27)
('🖕🏽', '🖕🏻', 25)
('🖕🏽', '🤡', 7)
('🖕', '🖕🏻', 29)
('🖕', '🤡', 12)
('🖕🏻', '🤡', 5)
('🐷', '🤡', 4)
('🐷', '💩', 9)
('🐷', '🖕🏻', 2)
('🤡', '🖕🏻', 2)
('💩', '🖕🏻', 5)
('☔️', '☔️', 19)
('☔️', '👉', 4)
('☔️', '👈', 4)
('👉', '👈', 183)
('😂', '🤔', 395)
('😂', '🤣', 24059)
('💩', '🕳', 3)
('👸', '👸', 17)
('🤣', '💩', 345)
('🤣', '😂', 14593)
('🤡', '😂', 213)
('💚', '🐶', 5)
('💚', '😍', 9)
('🐶', '😍', 6)
('💥', '👉', 50)
('💥', '👈', 21)
('🇺', '👉', 110)
('🇺', '👈', 61)
('🇸', '👉', 111)
('🇸', '👈', 62)
('🤣', '🤣', 200791)
('🤣', '🦴', 42)
('🤣', '🗣️', 44)
('🤡', '🦴', 20)
('🤡', '🗣️', 22)
('🤡', '🤡', 19549)
('🤡', '🤣', 305)
('😂', '😂', 265549)
('😂', '🦴', 20)
('😂', '🗣️', 20)
('😂', '🤡', 373)
('🦴', '🗣️', 94)
('🦴', '🤡', 64)
('🗣️', '🤡', 70)
('🗣️', '🤣', 64)
('😍', '🚔', 56)
('😍', '💙', 90)
('😍', '🇺', 133)
('😍', '🇸', 133)
('😍', '😍', 14203)
('🚔', '💙', 72)
('🚔', '🇺', 58)
('🚔', '🇸', 58)
('🚔', '😍', 42)
('🚔', '🚔', 106)
('💙', '🇺', 373)
('💙', '🇸', 373)
('💙', '😍', 54)
('💙', '🚔', 70)
('💙', '💙', 2408)
('🇺', '😍', 70)
('🇺', '🚔', 44)
('🇺', '💙', 241)
('🇸', '😍', 69)
('🇸', '🚔', 44)
('🇸', '💙', 243)
('🦗', '🦗', 494)
('😂', '🤢', 115)
('😂', '🤮', 741)
('🤢', '🤣', 30)
('🤢', '🤮', 821)
('🤣', '🤮', 512)
('🤮', '🤮', 8599)
('🤔', '🤔', 4545)
('💩', '🧠', 91)
('💩', '🦴', 52)
('💩', '🗣️', 60)
('🧠', '🦴', 32)
('🧠', '🗣️', 36)
('🧠', '🤡', 48)
('💩', '💩', 17614)
('🦴', '🧠', 42)
('🗣️', '💩', 51)
('🗣️', '🧠', 46)
('🇺', '🙏🏽', 14)
('🇸', '🙏🏽', 14)
('💩', '😂', 328)
('🧠', '😂', 20)
('🧠', '🤣', 38)
('🦴', '😂', 14)
('🗣️', '😂', 23)
('💩', '🤬', 265)
('🧠', '🤬', 4)
('🦴', '🤬', 2)
('🗣️', '🤬', 5)
('🤡', '🤬', 102)
('🤬', '😂', 104)
('🤬', '🤣', 100)
('😂', '🤬', 171)
('🤣', '🤬', 153)
('❤️', '❤️', 18535)
('❤️', '👉', 42)
('❤️', '👈', 24)
('💧', '💧', 207)
('💧', '👉', 4)
('💧', '👈', 4)
('🌟', '🌟', 336)
('🌟', '👉', 10)
('🌟', '👈', 10)
('🇺', '🇲', 778)
('🇺', '🇽', 22)
('🇺', '💩', 106)
('🇺', '🧠', 12)
('🇺', '🦴', 3)
('🇺', '🗣️', 13)
('🇸', '🇲', 41)
('🇸', '🇽', 17)
('🇸', '💩', 148)
('🇸', '🧠', 17)
('🇸', '🦴', 3)
('🇸', '🗣️', 6)
('🇲', '🇽', 565)
('🇲', '💩', 5)
('🇲', '🧠', 2)
('🇲', '🦴', 2)
('🇲', '🗣️', 2)
('🇽', '💩', 5)
('🇽', '🧠', 2)
('🇽', '🦴', 2)
('🇽', '🗣️', 2)
('🖕🏿', '🖕🏿', 95)
('🇺', '🔥', 405)
('🇲', '🔥', 7)
('🇲', '💥', 21)
('😂', '👀', 144)
('🤣', '👀', 49)
('🤬', '🤯', 279)
('😮', '🐱', 2)
('😮', '🐔', 2)
('🐱', '🐔', 4)
('🧔🏻', '👶🏻', 4)
('🧔🏻', '🦴', 4)
('🧔🏻', '🗣️', 4)
('🧔🏻', '💩', 4)
('🧔🏻', '🧠', 4)
('🧔🏻', '🤡', 5)
('👶🏻', '🦴', 4)
('👶🏻', '🗣️', 4)
('👶🏻', '💩', 4)
('👶🏻', '🧠', 4)
('👶🏻', '🤡', 4)
('🇬', '🇧', 2421)
('🤷🏻', '👍🏼', 2)
('🤷🏻', '😂', 2)
('👍🏼', '😂', 21)
('🕵🏿♂️', '🖕🏿', 2)
('🕵🏿♂️', '💩', 2)
('🖕🏿', '💩', 13)
('🦴', '👶🏻', 6)
('🗣️', '👶🏻', 6)
('💩', '👶🏻', 6)
('🧠', '👶🏻', 2)
('🤡', '❄️', 38)
('🤡', '🐖', 2)
('🤡', '🧫', 2)
('🤡', '🧔🏻', 2)
('🤡', '👨🏻', 2)
